State	Year	Election Type	County	Office	Candidate	Party	Votes
Colorado	2014	P	Delta	Attorney General	Cynthia Coffman	Republican Party	"3,048"
Colorado	2014	P	Denver	Attorney General	Cynthia Coffman	Republican Party	"15,199"
Colorado	2014	P	Dolores	Attorney General	Cynthia Coffman	Republican Party	194
Colorado	2014	P	Douglas	Attorney General	Cynthia Coffman	Republican Party	"27,657"
Colorado	2014	P	Eagle	Attorney General	Cynthia Coffman	Republican Party	"1,567"
Colorado	2014	P	El Paso	Attorney General	Cynthia Coffman	Republican Party	"51,086"
Colorado	2014	P	Elbert	Attorney General	Cynthia Coffman	Republican Party	"3,379"
Colorado	2014	P	Fremont	Attorney General	Cynthia Coffman	Republican Party	"4,475"
Colorado	2014	P	Garfield	Attorney General	Cynthia Coffman	Republican Party	"2,621"
Colorado	2014	P	Gilpin	Attorney General	Cynthia Coffman	Republican Party	427
Colorado	2014	P	Grand	Attorney General	Cynthia Coffman	Republican Party	"1,386"
Colorado	2014	P	Gunnison	Attorney General	Cynthia Coffman	Republican Party	621
Colorado	2014	P	Hinsdale	Attorney General	Cynthia Coffman	Republican Party	147
Colorado	2014	P	Huerfano	Attorney General	Cynthia Coffman	Republican Party	455
Colorado	2014	P	Jackson	Attorney General	Cynthia Coffman	Republican Party	268
Colorado	2014	P	Jefferson	Attorney General	Cynthia Coffman	Republican Party	"37,824"
Colorado	2014	P	Kiowa	Attorney General	Cynthia Coffman	Republican Party	212
Colorado	2014	P	Kit Carson	Attorney General	Cynthia Coffman	Republican Party	"1,113"
Colorado	2014	P	La Plata	Attorney General	Cynthia Coffman	Republican Party	"2,698"
Colorado	2014	P	Lake	Attorney General	Cynthia Coffman	Republican Party	218
Colorado	2014	P	Larimer	Attorney General	Cynthia Coffman	Republican Party	"22,273"
Colorado	2014	P	Las Animas	Attorney General	Cynthia Coffman	Republican Party	668
Colorado	2014	P	Lincoln	Attorney General	Cynthia Coffman	Republican Party	713
Colorado	2014	P	Logan	Attorney General	Cynthia Coffman	Republican Party	"2,014"
Colorado	2014	P	Mesa	Attorney General	Cynthia Coffman	Republican Party	"12,879"
Colorado	2014	P	Mineral	Attorney General	Cynthia Coffman	Republican Party	80
Colorado	2014	P	Moffat	Attorney General	Cynthia Coffman	Republican Party	"1,478"
Colorado	2014	P	Montezuma	Attorney General	Cynthia Coffman	Republican Party	"2,918"
Colorado	2014	P	Montrose	Attorney General	Cynthia Coffman	Republican Party	"3,885"
Colorado	2014	P	Morgan	Attorney General	Cynthia Coffman	Republican Party	"2,401"
Colorado	2014	P	Otero	Attorney General	Cynthia Coffman	Republican Party	"1,438"
Colorado	2014	P	Ouray	Attorney General	Cynthia Coffman	Republican Party	432
Colorado	2014	P	Park	Attorney General	Cynthia Coffman	Republican Party	"1,930"
Colorado	2014	P	Phillips	Attorney General	Cynthia Coffman	Republican Party	540
Colorado	2014	P	Pitkin	Attorney General	Cynthia Coffman	Republican Party	420
Colorado	2014	P	Prowers	Attorney General	Cynthia Coffman	Republican Party	"1,225"
Colorado	2014	P	Pueblo	Attorney General	Cynthia Coffman	Republican Party	"8,062"
Colorado	2014	P	Rio Blanco	Attorney General	Cynthia Coffman	Republican Party	"1,053"
Colorado	2014	P	Rio Grande	Attorney General	Cynthia Coffman	Republican Party	"1,170"
Colorado	2014	P	Routt	Attorney General	Cynthia Coffman	Republican Party	"1,198"
Colorado	2014	P	Saguache	Attorney General	Cynthia Coffman	Republican Party	293
Colorado	2014	P	San Juan	Attorney General	Cynthia Coffman	Republican Party	22
Colorado	2014	P	San Miguel	Attorney General	Cynthia Coffman	Republican Party	168
Colorado	2014	P	Sedgwick	Attorney General	Cynthia Coffman	Republican Party	425
Colorado	2014	P	Summit	Attorney General	Cynthia Coffman	Republican Party	967
Colorado	2014	P	Teller	Attorney General	Cynthia Coffman	Republican Party	"2,819"
Colorado	2014	P	Washington	Attorney General	Cynthia Coffman	Republican Party	"1,161"
Colorado	2014	P	Weld	Attorney General	Cynthia Coffman	Republican Party	"19,057"
Colorado	2014	P	Yuma	Attorney General	Cynthia Coffman	Republican Party	"1,527"
Colorado	2014	P	Adams	Governor	John Hickenlooper	Democratic Party	"15,467"
Colorado	2014	P	Alamosa	Governor	John Hickenlooper	Democratic Party	753
Colorado	2014	P	Arapahoe	Governor	John Hickenlooper	Democratic Party	"22,519"
Colorado	2014	P	Archuleta	Governor	John Hickenlooper	Democratic Party	517
Colorado	2014	P	Baca	Governor	John Hickenlooper	Democratic Party	227
Colorado	2014	P	Bent	Governor	John Hickenlooper	Democratic Party	239
Colorado	2014	P	Boulder	Governor	John Hickenlooper	Democratic Party	"20,988"
Colorado	2014	P	Broomfield	Governor	John Hickenlooper	Democratic Party	"2,715"
Colorado	2014	P	Chaffee	Governor	John Hickenlooper	Democratic Party	"1,059"
Colorado	2014	P	Cheyenne	Governor	John Hickenlooper	Democratic Party	40
Colorado	2014	P	Clear Creek	Governor	John Hickenlooper	Democratic Party	563
Colorado	2014	P	Conejos	Governor	John Hickenlooper	Democratic Party	774
Colorado	2014	P	Costilla	Governor	John Hickenlooper	Democratic Party	778
Colorado	2014	P	Crowley	Governor	John Hickenlooper	Democratic Party	126
Colorado	2014	P	Custer	Governor	John Hickenlooper	Democratic Party	172
Colorado	2014	P	Delta	Governor	John Hickenlooper	Democratic Party	904
Colorado	2014	P	Denver	Governor	John Hickenlooper	Democratic Party	"39,988"
Colorado	2014	P	Dolores	Governor	John Hickenlooper	Democratic Party	80
Colorado	2014	P	Douglas	Governor	John Hickenlooper	Democratic Party	"8,310"
Colorado	2014	P	Eagle	Governor	John Hickenlooper	Democratic Party	"1,543"
Colorado	2014	P	El Paso	Governor	John Hickenlooper	Democratic Party	"15,570"
Colorado	2014	P	Elbert	Governor	John Hickenlooper	Democratic Party	551
Colorado	2014	P	Fremont	Governor	John Hickenlooper	Democratic Party	"1,393"
Colorado	2014	P	Garfield	Governor	John Hickenlooper	Democratic Party	"1,520"
Colorado	2014	P	Gilpin	Governor	John Hickenlooper	Democratic Party	273
Colorado	2014	P	Grand	Governor	John Hickenlooper	Democratic Party	503
Colorado	2014	P	Gunnison	Governor	John Hickenlooper	Democratic Party	723
Colorado	2014	P	Hinsdale	Governor	John Hickenlooper	Democratic Party	36
Colorado	2014	P	Huerfano	Governor	John Hickenlooper	Democratic Party	820
Colorado	2014	P	Jackson	Governor	John Hickenlooper	Democratic Party	40
Colorado	2014	P	Jefferson	Governor	John Hickenlooper	Democratic Party	"25,032"
Colorado	2014	P	Kiowa	Governor	John Hickenlooper	Democratic Party	47
Colorado	2014	P	Kit Carson	Governor	John Hickenlooper	Democratic Party	198
Colorado	2014	P	La Plata	Governor	John Hickenlooper	Democratic Party	"2,328"
Colorado	2014	P	Lake	Governor	John Hickenlooper	Democratic Party	523
Colorado	2014	P	Larimer	Governor	John Hickenlooper	Democratic Party	"13,428"
Colorado	2014	P	Las Animas	Governor	John Hickenlooper	Democratic Party	"1,267"
Colorado	2014	P	Lincoln	Governor	John Hickenlooper	Democratic Party	131
Colorado	2014	P	Logan	Governor	John Hickenlooper	Democratic Party	616
Colorado	2014	P	Mesa	Governor	John Hickenlooper	Democratic Party	"4,606"
Colorado	2014	P	Mineral	Governor	John Hickenlooper	Democratic Party	105
Colorado	2014	P	Moffat	Governor	John Hickenlooper	Democratic Party	204
Colorado	2014	P	Montezuma	Governor	John Hickenlooper	Democratic Party	809
Colorado	2014	P	Montrose	Governor	John Hickenlooper	Democratic Party	"1,181"
Colorado	2014	P	Morgan	Governor	John Hickenlooper	Democratic Party	787
Colorado	2014	P	Otero	Governor	John Hickenlooper	Democratic Party	819
Colorado	2014	P	Ouray	Governor	John Hickenlooper	Democratic Party	282
Colorado	2014	P	Park	Governor	John Hickenlooper	Democratic Party	564
Colorado	2014	P	Phillips	Governor	John Hickenlooper	Democratic Party	129
Colorado	2014	P	Pitkin	Governor	John Hickenlooper	Democratic Party	813
Colorado	2014	P	Prowers	Governor	John Hickenlooper	Democratic Party	321
Colorado	2014	P	Pueblo	Governor	John Hickenlooper	Democratic Party	"10,134"
Colorado	2014	P	Rio Blanco	Governor	John Hickenlooper	Democratic Party	91
Colorado	2014	P	Rio Grande	Governor	John Hickenlooper	Democratic Party	671
Colorado	2014	P	Routt	Governor	John Hickenlooper	Democratic Party	844
Colorado	2014	P	Saguache	Governor	John Hickenlooper	Democratic Party	475
Colorado	2014	P	San Juan	Governor	John Hickenlooper	Democratic Party	41
Colorado	2014	P	San Miguel	Governor	John Hickenlooper	Democratic Party	321
Colorado	2014	P	Sedgwick	Governor	John Hickenlooper	Democratic Party	95
Colorado	2014	P	Summit	Governor	John Hickenlooper	Democratic Party	942
Colorado	2014	P	Teller	Governor	John Hickenlooper	Democratic Party	751
Colorado	2014	P	Washington	Governor	John Hickenlooper	Democratic Party	88
Colorado	2014	P	Weld	Governor	John Hickenlooper	Democratic Party	"6,307"
Colorado	2014	P	Yuma	Governor	John Hickenlooper	Democratic Party	262
Colorado	2014	P	Adams	Governor	Bob Beauprez	Republican Party	"4,998"
Colorado	2014	P	Alamosa	Governor	Bob Beauprez	Republican Party	186
Colorado	2014	P	Arapahoe	Governor	Bob Beauprez	Republican Party	"10,907"
Colorado	2014	P	Archuleta	Governor	Bob Beauprez	Republican Party	478
Colorado	2014	P	Baca	Governor	Bob Beauprez	Republican Party	150
Colorado	2014	P	Bent	Governor	Bob Beauprez	Republican Party	141
Colorado	2014	P	Boulder	Governor	Bob Beauprez	Republican Party	"5,599"
Colorado	2014	P	Broomfield	Governor	Bob Beauprez	Republican Party	"1,566"
Colorado	2014	P	Chaffee	Governor	Bob Beauprez	Republican Party	536
Colorado	2014	P	Cheyenne	Governor	Bob Beauprez	Republican Party	134
Colorado	2014	P	Clear Creek	Governor	Bob Beauprez	Republican Party	232
Colorado	2014	P	Conejos	Governor	Bob Beauprez	Republican Party	128
Colorado	2014	P	Costilla	Governor	Bob Beauprez	Republican Party	19
Colorado	2014	P	Crowley	Governor	Bob Beauprez	Republican Party	152
Colorado	2014	P	Custer	Governor	Bob Beauprez	Republican Party	306
Colorado	2014	P	Delta	Governor	Bob Beauprez	Republican Party	951
Colorado	2014	P	Denver	Governor	Bob Beauprez	Republican Party	"5,128"
Colorado	2014	P	Dolores	Governor	Bob Beauprez	Republican Party	57
Colorado	2014	P	Douglas	Governor	Bob Beauprez	Republican Party	"7,975"
Colorado	2014	P	Eagle	Governor	Bob Beauprez	Republican Party	528
Colorado	2014	P	El Paso	Governor	Bob Beauprez	Republican Party	"21,446"
Colorado	2014	P	Elbert	Governor	Bob Beauprez	Republican Party	"1,063"
Colorado	2014	P	Fremont	Governor	Bob Beauprez	Republican Party	"1,236"
Colorado	2014	P	Garfield	Governor	Bob Beauprez	Republican Party	708
Colorado	2014	P	Gilpin	Governor	Bob Beauprez	Republican Party	128
Colorado	2014	P	Grand	Governor	Bob Beauprez	Republican Party	606
Colorado	2014	P	Gunnison	Governor	Bob Beauprez	Republican Party	201
Colorado	2014	P	Hinsdale	Governor	Bob Beauprez	Republican Party	42
Colorado	2014	P	Huerfano	Governor	Bob Beauprez	Republican Party	122
Colorado	2014	P	Jackson	Governor	Bob Beauprez	Republican Party	331
Colorado	2014	P	Jefferson	Governor	Bob Beauprez	Republican Party	"13,250"
Colorado	2014	P	Kiowa	Governor	Bob Beauprez	Republican Party	83
Colorado	2014	P	Kit Carson	Governor	Bob Beauprez	Republican Party	446
Colorado	2014	P	La Plata	Governor	Bob Beauprez	Republican Party	842
Colorado	2014	P	Lake	Governor	Bob Beauprez	Republican Party	79
Colorado	2014	P	Larimer	Governor	Bob Beauprez	Republican Party	"7,799"
Colorado	2014	P	Las Animas	Governor	Bob Beauprez	Republican Party	187
Colorado	2014	P	Lincoln	Governor	Bob Beauprez	Republican Party	373
Colorado	2014	P	Logan	Governor	Bob Beauprez	Republican Party	980
Colorado	2014	P	Mesa	Governor	Bob Beauprez	Republican Party	"6,655"
Colorado	2014	P	Mineral	Governor	Bob Beauprez	Republican Party	27
Colorado	2014	P	Moffat	Governor	Bob Beauprez	Republican Party	448
Colorado	2014	P	Montezuma	Governor	Bob Beauprez	Republican Party	670
Colorado	2014	P	Montrose	Governor	Bob Beauprez	Republican Party	"2,097"
Colorado	2014	P	Morgan	Governor	Bob Beauprez	Republican Party	"1,314"
Colorado	2014	P	Otero	Governor	Bob Beauprez	Republican Party	407
Colorado	2014	P	Ouray	Governor	Bob Beauprez	Republican Party	148
Colorado	2014	P	Park	Governor	Bob Beauprez	Republican Party	526
Colorado	2014	P	Phillips	Governor	Bob Beauprez	Republican Party	244
Colorado	2014	P	Pitkin	Governor	Bob Beauprez	Republican Party	150
Colorado	2014	P	Prowers	Governor	Bob Beauprez	Republican Party	425
Colorado	2014	P	Pueblo	Governor	Bob Beauprez	Republican Party	"1,915"
Colorado	2014	P	Rio Blanco	Governor	Bob Beauprez	Republican Party	384
Colorado	2014	P	Rio Grande	Governor	Bob Beauprez	Republican Party	274
Colorado	2014	P	Routt	Governor	Bob Beauprez	Republican Party	495
Colorado	2014	P	Saguache	Governor	Bob Beauprez	Republican Party	75
Colorado	2014	P	San Juan	Governor	Bob Beauprez	Republican Party	3
Colorado	2014	P	San Miguel	Governor	Bob Beauprez	Republican Party	57
Colorado	2014	P	Sedgwick	Governor	Bob Beauprez	Republican Party	176
Colorado	2014	P	Summit	Governor	Bob Beauprez	Republican Party	372
Colorado	2014	P	Teller	Governor	Bob Beauprez	Republican Party	962
Colorado	2014	P	Washington	Governor	Bob Beauprez	Republican Party	592
Colorado	2014	P	Weld	Governor	Bob Beauprez	Republican Party	"6,814"
Colorado	2014	P	Yuma	Governor	Bob Beauprez	Republican Party	"1,010"
Colorado	2014	P	Adams	Governor	Mike Kopp	Republican Party	"3,058"
Colorado	2014	P	Alamosa	Governor	Mike Kopp	Republican Party	158
Colorado	2014	P	Arapahoe	Governor	Mike Kopp	Republican Party	"7,406"
Colorado	2014	P	Archuleta	Governor	Mike Kopp	Republican Party	443
Colorado	2014	P	Baca	Governor	Mike Kopp	Republican Party	133
Colorado	2014	P	Bent	Governor	Mike Kopp	Republican Party	110
Colorado	2014	P	Boulder	Governor	Mike Kopp	Republican Party	"1,753"
Colorado	2014	P	Broomfield	Governor	Mike Kopp	Republican Party	720
Colorado	2014	P	Chaffee	Governor	Mike Kopp	Republican Party	448
Colorado	2014	P	Cheyenne	Governor	Mike Kopp	Republican Party	125
Colorado	2014	P	Clear Creek	Governor	Mike Kopp	Republican Party	113
Colorado	2014	P	Conejos	Governor	Mike Kopp	Republican Party	101
Colorado	2014	P	Costilla	Governor	Mike Kopp	Republican Party	18
Colorado	2014	P	Crowley	Governor	Mike Kopp	Republican Party	119
Colorado	2014	P	Custer	Governor	Mike Kopp	Republican Party	335
Colorado	2014	P	Delta	Governor	Mike Kopp	Republican Party	"1,327"
Colorado	2014	P	Denver	Governor	Mike Kopp	Republican Party	"3,226"
Colorado	2014	P	Dolores	Governor	Mike Kopp	Republican Party	59
Colorado	2014	P	Douglas	Governor	Mike Kopp	Republican Party	"6,764"
Colorado	2014	P	Eagle	Governor	Mike Kopp	Republican Party	431
Colorado	2014	P	El Paso	Governor	Mike Kopp	Republican Party	"11,784"
Colorado	2014	P	Elbert	Governor	Mike Kopp	Republican Party	838
Colorado	2014	P	Fremont	Governor	Mike Kopp	Republican Party	"1,459"
Colorado	2014	P	Garfield	Governor	Mike Kopp	Republican Party	793
Colorado	2014	P	Gilpin	Governor	Mike Kopp	Republican Party	110
Colorado	2014	P	Grand	Governor	Mike Kopp	Republican Party	380
Colorado	2014	P	Gunnison	Governor	Mike Kopp	Republican Party	281
Colorado	2014	P	Hinsdale	Governor	Mike Kopp	Republican Party	93
Colorado	2014	P	Huerfano	Governor	Mike Kopp	Republican Party	125
Colorado	2014	P	Jackson	Governor	Mike Kopp	Republican Party	39
Colorado	2014	P	Jefferson	Governor	Mike Kopp	Republican Party	"9,667"
Colorado	2014	P	Kiowa	Governor	Mike Kopp	Republican Party	71
Colorado	2014	P	Kit Carson	Governor	Mike Kopp	Republican Party	319
Colorado	2014	P	La Plata	Governor	Mike Kopp	Republican Party	"1,010"
Colorado	2014	P	Lake	Governor	Mike Kopp	Republican Party	48
Colorado	2014	P	Larimer	Governor	Mike Kopp	Republican Party	"5,080"
Colorado	2014	P	Las Animas	Governor	Mike Kopp	Republican Party	146
Colorado	2014	P	Lincoln	Governor	Mike Kopp	Republican Party	163
Colorado	2014	P	Logan	Governor	Mike Kopp	Republican Party	437
Colorado	2014	P	Mesa	Governor	Mike Kopp	Republican Party	"3,317"
Colorado	2014	P	Mineral	Governor	Mike Kopp	Republican Party	19
Colorado	2014	P	Moffat	Governor	Mike Kopp	Republican Party	404
Colorado	2014	P	Montezuma	Governor	Mike Kopp	Republican Party	"1,089"
Colorado	2014	P	Montrose	Governor	Mike Kopp	Republican Party	"1,149"
Colorado	2014	P	Morgan	Governor	Mike Kopp	Republican Party	435
Colorado	2014	P	Otero	Governor	Mike Kopp	Republican Party	403
Colorado	2014	P	Ouray	Governor	Mike Kopp	Republican Party	159
Colorado	2014	P	Park	Governor	Mike Kopp	Republican Party	477
Colorado	2014	P	Phillips	Governor	Mike Kopp	Republican Party	135
Colorado	2014	P	Pitkin	Governor	Mike Kopp	Republican Party	103
Colorado	2014	P	Prowers	Governor	Mike Kopp	Republican Party	476
Colorado	2014	P	Pueblo	Governor	Mike Kopp	Republican Party	"1,839"
Colorado	2014	P	Rio Blanco	Governor	Mike Kopp	Republican Party	337
Colorado	2014	P	Rio Grande	Governor	Mike Kopp	Republican Party	269
Colorado	2014	P	Routt	Governor	Mike Kopp	Republican Party	282
Colorado	2014	P	Saguache	Governor	Mike Kopp	Republican Party	95
Colorado	2014	P	San Juan	Governor	Mike Kopp	Republican Party	8
Colorado	2014	P	San Miguel	Governor	Mike Kopp	Republican Party	83
Colorado	2014	P	Sedgwick	Governor	Mike Kopp	Republican Party	63
Colorado	2014	P	Summit	Governor	Mike Kopp	Republican Party	159
Colorado	2014	P	Teller	Governor	Mike Kopp	Republican Party	734
Colorado	2014	P	Washington	Governor	Mike Kopp	Republican Party	261
Colorado	2014	P	Weld	Governor	Mike Kopp	Republican Party	"4,114"
Colorado	2014	P	Yuma	Governor	Mike Kopp	Republican Party	273
Colorado	2014	P	Adams	Governor	Scott Gessler	Republican Party	"3,821"
Colorado	2014	P	Alamosa	Governor	Scott Gessler	Republican Party	264
Colorado	2014	P	Arapahoe	Governor	Scott Gessler	Republican Party	"8,864"
Colorado	2014	P	Archuleta	Governor	Scott Gessler	Republican Party	353
Colorado	2014	P	Baca	Governor	Scott Gessler	Republican Party	191
Colorado	2014	P	Bent	Governor	Scott Gessler	Republican Party	188
Colorado	2014	P	Boulder	Governor	Scott Gessler	Republican Party	"3,714"
Colorado	2014	P	Broomfield	Governor	Scott Gessler	Republican Party	"1,254"
Colorado	2014	P	Chaffee	Governor	Scott Gessler	Republican Party	592
Colorado	2014	P	Cheyenne	Governor	Scott Gessler	Republican Party	92
Colorado	2014	P	Clear Creek	Governor	Scott Gessler	Republican Party	156
Colorado	2014	P	Conejos	Governor	Scott Gessler	Republican Party	144
Colorado	2014	P	Costilla	Governor	Scott Gessler	Republican Party	52
Colorado	2014	P	Crowley	Governor	Scott Gessler	Republican Party	202
Colorado	2014	P	Custer	Governor	Scott Gessler	Republican Party	384
Colorado	2014	P	Delta	Governor	Scott Gessler	Republican Party	625
Colorado	2014	P	Denver	Governor	Scott Gessler	Republican Party	"4,511"
Colorado	2014	P	Dolores	Governor	Scott Gessler	Republican Party	58
Colorado	2014	P	Douglas	Governor	Scott Gessler	Republican Party	"7,592"
Colorado	2014	P	Eagle	Governor	Scott Gessler	Republican Party	610
Colorado	2014	P	El Paso	Governor	Scott Gessler	Republican Party	"16,106"
Colorado	2014	P	Elbert	Governor	Scott Gessler	Republican Party	710
Colorado	2014	P	Fremont	Governor	Scott Gessler	Republican Party	"1,505"
Colorado	2014	P	Garfield	Governor	Scott Gessler	Republican Party	823
Colorado	2014	P	Gilpin	Governor	Scott Gessler	Republican Party	90
Colorado	2014	P	Grand	Governor	Scott Gessler	Republican Party	418
Colorado	2014	P	Gunnison	Governor	Scott Gessler	Republican Party	121
Colorado	2014	P	Hinsdale	Governor	Scott Gessler	Republican Party	25
Colorado	2014	P	Huerfano	Governor	Scott Gessler	Republican Party	190
Colorado	2014	P	Jackson	Governor	Scott Gessler	Republican Party	24
Colorado	2014	P	Jefferson	Governor	Scott Gessler	Republican Party	"9,351"
Colorado	2014	P	Kiowa	Governor	Scott Gessler	Republican Party	73
Colorado	2014	P	Kit Carson	Governor	Scott Gessler	Republican Party	216
Colorado	2014	P	La Plata	Governor	Scott Gessler	Republican Party	646
Colorado	2014	P	Lake	Governor	Scott Gessler	Republican Party	53
Colorado	2014	P	Larimer	Governor	Scott Gessler	Republican Party	"6,238"
Colorado	2014	P	Las Animas	Governor	Scott Gessler	Republican Party	295
Colorado	2014	P	Lincoln	Governor	Scott Gessler	Republican Party	122
Colorado	2014	P	Logan	Governor	Scott Gessler	Republican Party	512
Colorado	2014	P	Mesa	Governor	Scott Gessler	Republican Party	"2,711"
Colorado	2014	P	Mineral	Governor	Scott Gessler	Republican Party	20
Colorado	2014	P	Moffat	Governor	Scott Gessler	Republican Party	475
Colorado	2014	P	Montezuma	Governor	Scott Gessler	Republican Party	758
Colorado	2014	P	Montrose	Governor	Scott Gessler	Republican Party	876
Colorado	2014	P	Morgan	Governor	Scott Gessler	Republican Party	438
Colorado	2014	P	Otero	Governor	Scott Gessler	Republican Party	652
Colorado	2014	P	Ouray	Governor	Scott Gessler	Republican Party	104
