office,district,party,county,candidate,votes,winner
U.S. House,3,Republican Party,LA PLATA,Scott R. Tipton,3673,
U.S. House,3,Republican Party,LAKE,Scott R. Tipton,261,
U.S. House,3,Republican Party,MESA,Scott R. Tipton,17721,
U.S. House,3,Republican Party,MINERAL,Scott R. Tipton,150,
U.S. House,3,Republican Party,MOFFAT,Scott R. Tipton,2378,
U.S. House,3,Republican Party,MONTEZUMA,Scott R. Tipton,2668,
U.S. House,3,Republican Party,MONTROSE,Scott R. Tipton,5305,
U.S. House,3,Republican Party,OURAY,Scott R. Tipton,586,
U.S. House,3,Republican Party,PITKIN,Scott R. Tipton,594,
U.S. House,3,Republican Party,PUEBLO,Scott R. Tipton,10452,
U.S. House,3,Republican Party,RIO BLANCO,Scott R. Tipton,1188,
U.S. House,3,Republican Party,RIO GRANDE,Scott R. Tipton,1583,
U.S. House,3,Republican Party,ROUTT,Scott R. Tipton,1560,
U.S. House,3,Republican Party,SAGUACHE,Scott R. Tipton,409,
U.S. House,3,Republican Party,SAN JUAN,Scott R. Tipton,34,
U.S. House,3,Republican Party,SAN MIGUEL,Scott R. Tipton,263,
U.S. House,4,Democratic Party,ADAMS,Chase Kohne,137,
U.S. House,4,Democratic Party,ARAPAHOE,Chase Kohne,112,
U.S. House,4,Democratic Party,BACA,Chase Kohne,63,
U.S. House,4,Democratic Party,BENT,Chase Kohne,118,
U.S. House,4,Democratic Party,BOULDER,Chase Kohne,4097,
U.S. House,4,Democratic Party,CHEYENNE,Chase Kohne,29,
U.S. House,4,Democratic Party,CROWLEY,Chase Kohne,76,
U.S. House,4,Democratic Party,DOUGLAS,Chase Kohne,6479,
U.S. House,4,Democratic Party,ELBERT,Chase Kohne,464,
U.S. House,4,Democratic Party,KIOWA,Chase Kohne,32,
U.S. House,4,Democratic Party,KIT CARSON,Chase Kohne,74,
U.S. House,4,Democratic Party,LAS ANIMAS,Chase Kohne,506,
U.S. House,4,Democratic Party,LINCOLN,Chase Kohne,67,
U.S. House,4,Democratic Party,LOGAN,Chase Kohne,319,
U.S. House,4,Democratic Party,MORGAN,Chase Kohne,432,
U.S. House,4,Democratic Party,OTERO,Chase Kohne,458,
U.S. House,4,Democratic Party,PHILLIPS,Chase Kohne,52,
U.S. House,4,Democratic Party,PROWERS,Chase Kohne,210,
U.S. House,4,Democratic Party,SEDGWICK,Chase Kohne,35,
U.S. House,4,Democratic Party,WASHINGTON,Chase Kohne,49,
U.S. House,4,Democratic Party,WELD,Chase Kohne,6315,
U.S. House,4,Democratic Party,YUMA,Chase Kohne,145,
U.S. House,4,Democratic Party,ADAMS,Karen McCormick,269,
U.S. House,4,Democratic Party,ARAPAHOE,Karen McCormick,277,
U.S. House,4,Democratic Party,BACA,Karen McCormick,152,
U.S. House,4,Democratic Party,BENT,Karen McCormick,256,
U.S. House,4,Democratic Party,BOULDER,Karen McCormick,9168,
U.S. House,4,Democratic Party,CHEYENNE,Karen McCormick,40,
U.S. House,4,Democratic Party,CROWLEY,Karen McCormick,148,
U.S. House,4,Democratic Party,DOUGLAS,Karen McCormick,10135,
U.S. House,4,Democratic Party,ELBERT,Karen McCormick,872,
U.S. House,4,Democratic Party,KIOWA,Karen McCormick,34,
U.S. House,4,Democratic Party,KIT CARSON,Karen McCormick,152,
U.S. House,4,Democratic Party,LAS ANIMAS,Karen McCormick,1399,
U.S. House,4,Democratic Party,LINCOLN,Karen McCormick,114,
U.S. House,4,Democratic Party,LOGAN,Karen McCormick,603,
U.S. House,4,Democratic Party,MORGAN,Karen McCormick,813,
U.S. House,4,Democratic Party,OTERO,Karen McCormick,1061,
U.S. House,4,Democratic Party,PHILLIPS,Karen McCormick,114,
U.S. House,4,Democratic Party,PROWERS,Karen McCormick,345,
U.S. House,4,Democratic Party,SEDGWICK,Karen McCormick,90,
U.S. House,4,Democratic Party,WASHINGTON,Karen McCormick,87,
U.S. House,4,Democratic Party,WELD,Karen McCormick,10781,
U.S. House,4,Democratic Party,YUMA,Karen McCormick,210,
U.S. House,4,Republican Party,ADAMS,Ken Buck,1055,
U.S. House,4,Republican Party,ARAPAHOE,Ken Buck,1168,
U.S. House,4,Republican Party,BACA,Ken Buck,971,
U.S. House,4,Republican Party,BENT,Ken Buck,520,
U.S. House,4,Republican Party,BOULDER,Ken Buck,6164,
U.S. House,4,Republican Party,CHEYENNE,Ken Buck,520,
U.S. House,4,Republican Party,CROWLEY,Ken Buck,552,
U.S. House,4,Republican Party,DOUGLAS,Ken Buck,24747,
U.S. House,4,Republican Party,ELBERT,Ken Buck,5542,
U.S. House,4,Republican Party,KIOWA,Ken Buck,348,
U.S. House,4,Republican Party,KIT CARSON,Ken Buck,1132,
U.S. House,4,Republican Party,LAS ANIMAS,Ken Buck,1148,
U.S. House,4,Republican Party,LINCOLN,Ken Buck,861,
U.S. House,4,Republican Party,LOGAN,Ken Buck,3829,
U.S. House,4,Republican Party,MORGAN,Ken Buck,3180,
U.S. House,4,Republican Party,OTERO,Ken Buck,2298,
U.S. House,4,Republican Party,PHILLIPS,Ken Buck,1027,
U.S. House,4,Republican Party,PROWERS,Ken Buck,1523,
U.S. House,4,Republican Party,SEDGWICK,Ken Buck,446,
U.S. House,4,Republican Party,WASHINGTON,Ken Buck,1311,
U.S. House,4,Republican Party,WELD,Ken Buck,24735,
U.S. House,4,Republican Party,YUMA,Ken Buck,2213,
U.S. House,5,Democratic Party,CHAFFEE,Stephany Rose Spaulding,2294,
U.S. House,5,Democratic Party,EL PASO,Stephany Rose Spaulding,38547,
U.S. House,5,Democratic Party,FREMONT,Stephany Rose Spaulding,2513,
U.S. House,5,Democratic Party,PARK,Stephany Rose Spaulding,612,
U.S. House,5,Democratic Party,TELLER,Stephany Rose Spaulding,1500,
U.S. House,5,Democratic Party,CHAFFEE,Marcus Murphy,2,
U.S. House,5,Democratic Party,EL PASO,Marcus Murphy,35,
U.S. House,5,Democratic Party,FREMONT,Marcus Murphy,0,
U.S. House,5,Democratic Party,PARK,Marcus Murphy,0,
U.S. House,5,Democratic Party,TELLER,Marcus Murphy,1,
U.S. House,5,Republican Party,CHAFFEE,Owen Hill,405,
U.S. House,5,Republican Party,EL PASO,Owen Hill,16550,
U.S. House,5,Republican Party,FREMONT,Owen Hill,1215,
U.S. House,5,Republican Party,PARK,Owen Hill,267,
U.S. House,5,Republican Party,TELLER,Owen Hill,704,
U.S. House,5,Republican Party,CHAFFEE,Bill Rhea,92,
U.S. House,5,Republican Party,EL PASO,Bill Rhea,5417,
U.S. House,5,Republican Party,FREMONT,Bill Rhea,374,
U.S. House,5,Republican Party,PARK,Bill Rhea,79,
U.S. House,5,Republican Party,TELLER,Bill Rhea,205,
U.S. House,5,Republican Party,CHAFFEE,Doug Lamborn,1162,
U.S. House,5,Republican Party,EL PASO,Doug Lamborn,46040,
U.S. House,5,Republican Party,FREMONT,Doug Lamborn,4602,
U.S. House,5,Republican Party,PARK,Doug Lamborn,756,
U.S. House,5,Republican Party,TELLER,Doug Lamborn,2414,
U.S. House,5,Republican Party,CHAFFEE,Tyler Stevens,80,
U.S. House,5,Republican Party,EL PASO,Tyler Stevens,2939,
U.S. House,5,Republican Party,FREMONT,Tyler Stevens,314,
U.S. House,5,Republican Party,PARK,Tyler Stevens,98,
U.S. House,5,Republican Party,TELLER,Tyler Stevens,212,
U.S. House,5,Republican Party,CHAFFEE,Darryl Glenn,911,
U.S. House,5,Republican Party,EL PASO,Darryl Glenn,17261,
U.S. House,5,Republican Party,FREMONT,Darryl Glenn,1690,
U.S. House,5,Republican Party,PARK,Darryl Glenn,563,
U.S. House,5,Republican Party,TELLER,Darryl Glenn,1054,
U.S. House,6,Democratic Party,ADAMS,Jason Crow,5478,
U.S. House,6,Democratic Party,ARAPAHOE,Jason Crow,37275,
U.S. House,6,Democratic Party,DOUGLAS,Jason Crow,7098,
U.S. House,6,Democratic Party,ADAMS,Levi Tillemann,3181,
U.S. House,6,Democratic Party,ARAPAHOE,Levi Tillemann,19528,
U.S. House,6,Democratic Party,DOUGLAS,Levi Tillemann,3048,
U.S. House,6,Republican Party,ADAMS,Mike Coffman,6933,
U.S. House,6,Republican Party,ARAPAHOE,Mike Coffman,38830,
U.S. House,6,Republican Party,DOUGLAS,Mike Coffman,10940,
U.S. House,7,Democratic Party,ADAMS,Ed Perlmutter,28447,
U.S. House,7,Democratic Party,JEFFERSON,Ed Perlmutter,53544,
U.S. House,7,Republican Party,ADAMS,Mark Barrington,14985,
U.S. House,7,Republican Party,JEFFERSON,Mark Barrington,31043,
Governor,,Democratic Party,ADAMS,Cary Kennedy,8756,
Governor,,Democratic Party,ALAMOSA,Cary Kennedy,595,
Governor,,Democratic Party,ARAPAHOE,Cary Kennedy,17166,
Governor,,Democratic Party,ARCHULETA,Cary Kennedy,299,
Governor,,Democratic Party,BACA,Cary Kennedy,57,
Governor,,Democratic Party,BENT,Cary Kennedy,145,
Governor,,Democratic Party,BOULDER,Cary Kennedy,14909,
Governor,,Democratic Party,BROOMFIELD,Cary Kennedy,1868,
Governor,,Democratic Party,CHAFFEE,Cary Kennedy,812,
Governor,,Democratic Party,CHEYENNE,Cary Kennedy,22,
Governor,,Democratic Party,CLEAR CREEK,Cary Kennedy,258,
Governor,,Democratic Party,CONEJOS,Cary Kennedy,326,
Governor,,Democratic Party,COSTILLA,Cary Kennedy,319,
Governor,,Democratic Party,CROWLEY,Cary Kennedy,61,
Governor,,Democratic Party,CUSTER,Cary Kennedy,112,
Governor,,Democratic Party,DELTA,Cary Kennedy,653,
Governor,,Democratic Party,DENVER,Cary Kennedy,32261,
Governor,,Democratic Party,DOLORES,Cary Kennedy,50,
Governor,,Democratic Party,DOUGLAS,Cary Kennedy,7410,
Governor,,Democratic Party,EAGLE,Cary Kennedy,876,
Governor,,Democratic Party,EL PASO,Cary Kennedy,15361,
Governor,,Democratic Party,ELBERT,Cary Kennedy,342,
Governor,,Democratic Party,FREMONT,Cary Kennedy,831,
Governor,,Democratic Party,GARFIELD,Cary Kennedy,1421,
Governor,,Democratic Party,GILPIN,Cary Kennedy,220,
Governor,,Democratic Party,GRAND,Cary Kennedy,316,
Governor,,Democratic Party,GUNNISON,Cary Kennedy,716,
Governor,,Democratic Party,HINSDALE,Cary Kennedy,10,
Governor,,Democratic Party,HUERFANO,Cary Kennedy,349,
Governor,,Democratic Party,JACKSON,Cary Kennedy,26,
Governor,,Democratic Party,JEFFERSON,Cary Kennedy,19822,
Governor,,Democratic Party,KIOWA,Cary Kennedy,38,
Governor,,Democratic Party,KIT CARSON,Cary Kennedy,65,
Governor,,Democratic Party,LA PLATA,Cary Kennedy,2376,
Governor,,Democratic Party,LAKE,Cary Kennedy,221,
Governor,,Democratic Party,LARIMER,Cary Kennedy,8633,
Governor,,Democratic Party,LAS ANIMAS,Cary Kennedy,510,
Governor,,Democratic Party,LINCOLN,Cary Kennedy,62,
Governor,,Democratic Party,LOGAN,Cary Kennedy,232,
Governor,,Democratic Party,MESA,Cary Kennedy,2233,
Governor,,Democratic Party,MINERAL,Cary Kennedy,57,
Governor,,Democratic Party,MOFFAT,Cary Kennedy,115,
Governor,,Democratic Party,MONTEZUMA,Cary Kennedy,718,
Governor,,Democratic Party,MONTROSE,Cary Kennedy,600,
Governor,,Democratic Party,MORGAN,Cary Kennedy,336,
Governor,,Democratic Party,OTERO,Cary Kennedy,400,
Governor,,Democratic Party,OURAY,Cary Kennedy,307,
Governor,,Democratic Party,PARK,Cary Kennedy,286,
Governor,,Democratic Party,PHILLIPS,Cary Kennedy,34,
Governor,,Democratic Party,PITKIN,Cary Kennedy,648,
Governor,,Democratic Party,PROWERS,Cary Kennedy,153,
Governor,,Democratic Party,PUEBLO,Cary Kennedy,5086,
Governor,,Democratic Party,RIO BLANCO,Cary Kennedy,40,
Governor,,Democratic Party,RIO GRANDE,Cary Kennedy,282,
Governor,,Democratic Party,ROUTT,Cary Kennedy,1059,
Governor,,Democratic Party,SAGUACHE,Cary Kennedy,294,
Governor,,Democratic Party,SAN JUAN,Cary Kennedy,35,
Governor,,Democratic Party,SAN MIGUEL,Cary Kennedy,574,
Governor,,Democratic Party,SEDGWICK,Cary Kennedy,35,
Governor,,Democratic Party,SUMMIT,Cary Kennedy,633,
Governor,,Democratic Party,TELLER,Cary Kennedy,540,
Governor,,Democratic Party,WASHINGTON,Cary Kennedy,28,
Governor,,Democratic Party,WELD,Cary Kennedy,4296,
Governor,,Democratic Party,YUMA,Cary Kennedy,101,
Governor,,Democratic Party,ADAMS,Jared Polis,19731,
Governor,,Democratic Party,ALAMOSA,Jared Polis,477,
Governor,,Democratic Party,ARAPAHOE,Jared Polis,27524,
Governor,,Democratic Party,ARCHULETA,Jared Polis,427,
Governor,,Democratic Party,BACA,Jared Polis,113,
Governor,,Democratic Party,BENT,Jared Polis,139,
Governor,,Democratic Party,BOULDER,Jared Polis,39193,
Governor,,Democratic Party,BROOMFIELD,Jared Polis,6253,
Governor,,Democratic Party,CHAFFEE,Jared Polis,1169,
Governor,,Democratic Party,CHEYENNE,Jared Polis,21,
Governor,,Democratic Party,CLEAR CREEK,Jared Polis,877,
Governor,,Democratic Party,CONEJOS,Jared Polis,337,
Governor,,Democratic Party,COSTILLA,Jared Polis,362,
Governor,,Democratic Party,CROWLEY,Jared Polis,97,
Governor,,Democratic Party,CUSTER,Jared Polis,200,
Governor,,Democratic Party,DELTA,Jared Polis,981,
Governor,,Democratic Party,DENVER,Jared Polis,45369,
Governor,,Democratic Party,DOLORES,Jared Polis,42,
Governor,,Democratic Party,DOUGLAS,Jared Polis,11220,
Governor,,Democratic Party,EAGLE,Jared Polis,2193,
Governor,,Democratic Party,EL PASO,Jared Polis,18682,
Governor,,Democratic Party,ELBERT,Jared Polis,588,
Governor,,Democratic Party,FREMONT,Jared Polis,1338,
Governor,,Democratic Party,GARFIELD,Jared Polis,2083,
Governor,,Democratic Party,GILPIN,Jared Polis,550,
Governor,,Democratic Party,GRAND,Jared Polis,918,
Governor,,Democratic Party,GUNNISON,Jared Polis,706,
Governor,,Democratic Party,HINSDALE,Jared Polis,22,
Governor,,Democratic Party,HUERFANO,Jared Polis,534,
Governor,,Democratic Party,JACKSON,Jared Polis,15,
Governor,,Democratic Party,JEFFERSON,Jared Polis,35584,
Governor,,Democratic Party,KIOWA,Jared Polis,20,
Governor,,Democratic Party,KIT CARSON,Jared Polis,89,
Governor,,Democratic Party,LA PLATA,Jared Polis,2191,
Governor,,Democratic Party,LAKE,Jared Polis,320,
Governor,,Democratic Party,LARIMER,Jared Polis,28211,
Governor,,Democratic Party,LAS ANIMAS,Jared Polis,990,
Governor,,Democratic Party,LINCOLN,Jared Polis,66,
Governor,,Democratic Party,LOGAN,Jared Polis,425,
Governor,,Democratic Party,MESA,Jared Polis,4481,
Governor,,Democratic Party,MINERAL,Jared Polis,77,
Governor,,Democratic Party,MOFFAT,Jared Polis,145,
Governor,,Democratic Party,MONTEZUMA,Jared Polis,635,
Governor,,Democratic Party,MONTROSE,Jared Polis,1091,
Governor,,Democratic Party,MORGAN,Jared Polis,536,
Governor,,Democratic Party,OTERO,Jared Polis,720,
Governor,,Democratic Party,OURAY,Jared Polis,287,
Governor,,Democratic Party,PARK,Jared Polis,736,
Governor,,Democratic Party,PHILLIPS,Jared Polis,69,
Governor,,Democratic Party,PITKIN,Jared Polis,1352,
Governor,,Democratic Party,PROWERS,Jared Polis,214,
Governor,,Democratic Party,PUEBLO,Jared Polis,8069,
Governor,,Democratic Party,RIO BLANCO,Jared Polis,57,
Governor,,Democratic Party,RIO GRANDE,Jared Polis,307,
Governor,,Democratic Party,ROUTT,Jared Polis,1328,
Governor,,Democratic Party,SAGUACHE,Jared Polis,314,
Governor,,Democratic Party,SAN JUAN,Jared Polis,47,
Governor,,Democratic Party,SAN MIGUEL,Jared Polis,438,
Governor,,Democratic Party,SEDGWICK,Jared Polis,47,
Governor,,Democratic Party,SUMMIT,Jared Polis,2537,
Governor,,Democratic Party,TELLER,Jared Polis,754,
Governor,,Democratic Party,WASHINGTON,Jared Polis,63,
Governor,,Democratic Party,WELD,Jared Polis,8826,
Governor,,Democratic Party,YUMA,Jared Polis,153,
Governor,,Democratic Party,ADAMS,Donna Lynne,3325,
Governor,,Democratic Party,ALAMOSA,Donna Lynne,166,
Governor,,Democratic Party,ARAPAHOE,Donna Lynne,5802,
Governor,,Democratic Party,ARCHULETA,Donna Lynne,141,
Governor,,Democratic Party,BACA,Donna Lynne,37,
Governor,,Democratic Party,BENT,Donna Lynne,47,
Governor,,Democratic Party,BOULDER,Donna Lynne,3187,
Governor,,Democratic Party,BROOMFIELD,Donna Lynne,563,
Governor,,Democratic Party,CHAFFEE,Donna Lynne,201,
Governor,,Democratic Party,CHEYENNE,Donna Lynne,10,
Governor,,Democratic Party,CLEAR CREEK,Donna Lynne,84,
Governor,,Democratic Party,CONEJOS,Donna Lynne,98,
Governor,,Democratic Party,COSTILLA,Donna Lynne,141,
Governor,,Democratic Party,CROWLEY,Donna Lynne,28,
Governor,,Democratic Party,CUSTER,Donna Lynne,28,
Governor,,Democratic Party,DELTA,Donna Lynne,222,
Governor,,Democratic Party,DENVER,Donna Lynne,8537,
Governor,,Democratic Party,DOLORES,Donna Lynne,20,
Governor,,Democratic Party,DOUGLAS,Donna Lynne,2504,
Governor,,Democratic Party,EAGLE,Donna Lynne,240,
Governor,,Democratic Party,EL PASO,Donna Lynne,3524,
Governor,,Democratic Party,ELBERT,Donna Lynne,163,
Governor,,Democratic Party,FREMONT,Donna Lynne,230,
Governor,,Democratic Party,GARFIELD,Donna Lynne,419,
Governor,,Democratic Party,GILPIN,Donna Lynne,44,
Governor,,Democratic Party,GRAND,Donna Lynne,96,
Governor,,Democratic Party,GUNNISON,Donna Lynne,182,
Governor,,Democratic Party,HINSDALE,Donna Lynne,5,
Governor,,Democratic Party,HUERFANO,Donna Lynne,89,
Governor,,Democratic Party,JACKSON,Donna Lynne,5,
Governor,,Democratic Party,JEFFERSON,Donna Lynne,6459,
Governor,,Democratic Party,KIOWA,Donna Lynne,4,
Governor,,Democratic Party,KIT CARSON,Donna Lynne,28,
Governor,,Democratic Party,LA PLATA,Donna Lynne,829,
Governor,,Democratic Party,LAKE,Donna Lynne,91,
Governor,,Democratic Party,LARIMER,Donna Lynne,2362,
