county,office,district,party,candidate,votes,no_votes
PARK,U.S. House,2,Libertarian Party,Roger Barris,125,
SUMMIT,U.S. House,2,Libertarian Party,Roger Barris,354,
TOTAL,U.S. House,2,Libertarian Party,Roger Barris,9749,
BOULDER,U.S. House,2,Independent,Nick Thomas,3895,
BROOMFIELD,U.S. House,2,Independent,Nick Thomas,1564,
CLEAR CREEK,U.S. House,2,Independent,Nick Thomas,253,
EAGLE,U.S. House,2,Independent,Nick Thomas,238,
GILPIN,U.S. House,2,Independent,Nick Thomas,198,
GRAND,U.S. House,2,Independent,Nick Thomas,432,
JEFFERSON,U.S. House,2,Independent,Nick Thomas,1698,
LARIMER,U.S. House,2,Independent,Nick Thomas,7113,
PARK,U.S. House,2,Independent,Nick Thomas,263,
SUMMIT,U.S. House,2,Independent,Nick Thomas,702,
TOTAL,U.S. House,2,Independent,Nick Thomas,16356,
BOULDER,U.S. House,2,Green Party,Kevin Alumbaugh,120,
BROOMFIELD,U.S. House,2,Green Party,Kevin Alumbaugh,3,
CLEAR CREEK,U.S. House,2,Green Party,Kevin Alumbaugh,1,
EAGLE,U.S. House,2,Green Party,Kevin Alumbaugh,0,
GILPIN,U.S. House,2,Green Party,Kevin Alumbaugh,4,
GRAND,U.S. House,2,Green Party,Kevin Alumbaugh,0,
JEFFERSON,U.S. House,2,Green Party,Kevin Alumbaugh,5,
LARIMER,U.S. House,2,Green Party,Kevin Alumbaugh,15,
PARK,U.S. House,2,Green Party,Kevin Alumbaugh,2,
SUMMIT,U.S. House,2,Green Party,Kevin Alumbaugh,1,
TOTAL,U.S. House,2,Green Party,Kevin Alumbaugh,151,
ALAMOSA,U.S. House,3,Republican Party,Scott R. Tipton,2977,
ARCHULETA,U.S. House,3,Republican Party,Scott R. Tipton,3850,
CONEJOS,U.S. House,3,Republican Party,Scott R. Tipton,1888,
COSTILLA,U.S. House,3,Republican Party,Scott R. Tipton,527,
CUSTER,U.S. House,3,Republican Party,Scott R. Tipton,1944,
DELTA,U.S. House,3,Republican Party,Scott R. Tipton,9958,
DOLORES,U.S. House,3,Republican Party,Scott R. Tipton,878,
EAGLE,U.S. House,3,Republican Party,Scott R. Tipton,6408,
GARFIELD,U.S. House,3,Republican Party,Scott R. Tipton,11836,
GUNNISON,U.S. House,3,Republican Party,Scott R. Tipton,2991,
HINSDALE,U.S. House,3,Republican Party,Scott R. Tipton,321,
HUERFANO,U.S. House,3,Republican Party,Scott R. Tipton,1764,
JACKSON,U.S. House,3,Republican Party,Scott R. Tipton,599,
LAKE,U.S. House,3,Republican Party,Scott R. Tipton,1057,
LA PLATA,U.S. House,3,Republican Party,Scott R. Tipton,11586,
MESA,U.S. House,3,Republican Party,Scott R. Tipton,42483,
MINERAL,U.S. House,3,Republican Party,Scott R. Tipton,326,
MOFFAT,U.S. House,3,Republican Party,Scott R. Tipton,4347,
MONTEZUMA,U.S. House,3,Republican Party,Scott R. Tipton,6943,
MONTROSE,U.S. House,3,Republican Party,Scott R. Tipton,12767,
OURAY,U.S. House,3,Republican Party,Scott R. Tipton,1278,
PITKIN,U.S. House,3,Republican Party,Scott R. Tipton,2446,
PUEBLO,U.S. House,3,Republican Party,Scott R. Tipton,31787,
RIO BLANCO,U.S. House,3,Republican Party,Scott R. Tipton,2544,
RIO GRANDE,U.S. House,3,Republican Party,Scott R. Tipton,2936,
ROUTT,U.S. House,3,Republican Party,Scott R. Tipton,4603,
SAGUACHE,U.S. House,3,Republican Party,Scott R. Tipton,1052,
SAN JUAN,U.S. House,3,Republican Party,Scott R. Tipton,172,
SAN MIGUEL,U.S. House,3,Republican Party,Scott R. Tipton,937,
TOTAL,U.S. House,3,Republican Party,Scott R. Tipton,173205,
ALAMOSA,U.S. House,3,Democratic Party,Diane Mitsch Bush,2875,
ARCHULETA,U.S. House,3,Democratic Party,Diane Mitsch Bush,2635,
CONEJOS,U.S. House,3,Democratic Party,Diane Mitsch Bush,1547,
COSTILLA,U.S. House,3,Democratic Party,Diane Mitsch Bush,1043,
CUSTER,U.S. House,3,Democratic Party,Diane Mitsch Bush,799,
DELTA,U.S. House,3,Democratic Party,Diane Mitsch Bush,4543,
DOLORES,U.S. House,3,Democratic Party,Diane Mitsch Bush,257,
EAGLE,U.S. House,3,Democratic Party,Diane Mitsch Bush,9667,
GARFIELD,U.S. House,3,Democratic Party,Diane Mitsch Bush,11410,
GUNNISON,U.S. House,3,Democratic Party,Diane Mitsch Bush,5383,
HINSDALE,U.S. House,3,Democratic Party,Diane Mitsch Bush,211,
HUERFANO,U.S. House,3,Democratic Party,Diane Mitsch Bush,1638,
JACKSON,U.S. House,3,Democratic Party,Diane Mitsch Bush,138,
LAKE,U.S. House,3,Democratic Party,Diane Mitsch Bush,1645,
LA PLATA,U.S. House,3,Democratic Party,Diane Mitsch Bush,15556,
MESA,U.S. House,3,Democratic Party,Diane Mitsch Bush,21460,
MINERAL,U.S. House,3,Democratic Party,Diane Mitsch Bush,246,
MOFFAT,U.S. House,3,Democratic Party,Diane Mitsch Bush,842,
MONTEZUMA,U.S. House,3,Democratic Party,Diane Mitsch Bush,4275,
MONTROSE,U.S. House,3,Democratic Party,Diane Mitsch Bush,5388,
OURAY,U.S. House,3,Democratic Party,Diane Mitsch Bush,1826,
PITKIN,U.S. House,3,Democratic Party,Diane Mitsch Bush,7150,
PUEBLO,U.S. House,3,Democratic Party,Diane Mitsch Bush,30541,
RIO BLANCO,U.S. House,3,Democratic Party,Diane Mitsch Bush,396,
RIO GRANDE,U.S. House,3,Democratic Party,Diane Mitsch Bush,1804,
ROUTT,U.S. House,3,Democratic Party,Diane Mitsch Bush,8353,
SAGUACHE,U.S. House,3,Democratic Party,Diane Mitsch Bush,1502,
SAN JUAN,U.S. House,3,Democratic Party,Diane Mitsch Bush,264,
SAN MIGUEL,U.S. House,3,Democratic Party,Diane Mitsch Bush,3032,
TOTAL,U.S. House,3,Democratic Party,Diane Mitsch Bush,146426,
ALAMOSA,U.S. House,3,Libertarian Party,Gaylon Kent,89,
ARCHULETA,U.S. House,3,Libertarian Party,Gaylon Kent,99,
CONEJOS,U.S. House,3,Libertarian Party,Gaylon Kent,36,
COSTILLA,U.S. House,3,Libertarian Party,Gaylon Kent,28,
CUSTER,U.S. House,3,Libertarian Party,Gaylon Kent,47,
DELTA,U.S. House,3,Libertarian Party,Gaylon Kent,208,
DOLORES,U.S. House,3,Libertarian Party,Gaylon Kent,12,
EAGLE,U.S. House,3,Libertarian Party,Gaylon Kent,223,
GARFIELD,U.S. House,3,Libertarian Party,Gaylon Kent,348,
GUNNISON,U.S. House,3,Libertarian Party,Gaylon Kent,170,
HINSDALE,U.S. House,3,Libertarian Party,Gaylon Kent,10,
HUERFANO,U.S. House,3,Libertarian Party,Gaylon Kent,77,
JACKSON,U.S. House,3,Libertarian Party,Gaylon Kent,17,
LAKE,U.S. House,3,Libertarian Party,Gaylon Kent,61,
LA PLATA,U.S. House,3,Libertarian Party,Gaylon Kent,377,
MESA,U.S. House,3,Libertarian Party,Gaylon Kent,1284,
MINERAL,U.S. House,3,Libertarian Party,Gaylon Kent,13,
MOFFAT,U.S. House,3,Libertarian Party,Gaylon Kent,82,
MONTEZUMA,U.S. House,3,Libertarian Party,Gaylon Kent,198,
MONTROSE,U.S. House,3,Libertarian Party,Gaylon Kent,299,
OURAY,U.S. House,3,Libertarian Party,Gaylon Kent,42,
PITKIN,U.S. House,3,Libertarian Party,Gaylon Kent,112,
PUEBLO,U.S. House,3,Libertarian Party,Gaylon Kent,1447,
RIO BLANCO,U.S. House,3,Libertarian Party,Gaylon Kent,45,
RIO GRANDE,U.S. House,3,Libertarian Party,Gaylon Kent,68,
ROUTT,U.S. House,3,Libertarian Party,Gaylon Kent,221,
SAGUACHE,U.S. House,3,Libertarian Party,Gaylon Kent,51,
SAN JUAN,U.S. House,3,Libertarian Party,Gaylon Kent,10,
SAN MIGUEL,U.S. House,3,Libertarian Party,Gaylon Kent,53,
TOTAL,U.S. House,3,Libertarian Party,Gaylon Kent,5727,
ALAMOSA,U.S. House,3,Independent,Mary M. Malarsie,147,
ARCHULETA,U.S. House,3,Independent,Mary M. Malarsie,235,
CONEJOS,U.S. House,3,Independent,Mary M. Malarsie,89,
COSTILLA,U.S. House,3,Independent,Mary M. Malarsie,47,
CUSTER,U.S. House,3,Independent,Mary M. Malarsie,98,
DELTA,U.S. House,3,Independent,Mary M. Malarsie,480,
DOLORES,U.S. House,3,Independent,Mary M. Malarsie,52,
EAGLE,U.S. House,3,Independent,Mary M. Malarsie,346,
GARFIELD,U.S. House,3,Independent,Mary M. Malarsie,573,
GUNNISON,U.S. House,3,Independent,Mary M. Malarsie,248,
HINSDALE,U.S. House,3,Independent,Mary M. Malarsie,16,
HUERFANO,U.S. House,3,Independent,Mary M. Malarsie,157,
JACKSON,U.S. House,3,Independent,Mary M. Malarsie,22,
LAKE,U.S. House,3,Independent,Mary M. Malarsie,97,
LA PLATA,U.S. House,3,Independent,Mary M. Malarsie,976,
MESA,U.S. House,3,Independent,Mary M. Malarsie,2471,
MINERAL,U.S. House,3,Independent,Mary M. Malarsie,16,
MOFFAT,U.S. House,3,Independent,Mary M. Malarsie,125,
MONTEZUMA,U.S. House,3,Independent,Mary M. Malarsie,355,
MONTROSE,U.S. House,3,Independent,Mary M. Malarsie,575,
OURAY,U.S. House,3,Independent,Mary M. Malarsie,76,
PITKIN,U.S. House,3,Independent,Mary M. Malarsie,139,
PUEBLO,U.S. House,3,Independent,Mary M. Malarsie,2877,
RIO BLANCO,U.S. House,3,Independent,Mary M. Malarsie,68,
RIO GRANDE,U.S. House,3,Independent,Mary M. Malarsie,138,
ROUTT,U.S. House,3,Independent,Mary M. Malarsie,252,
SAGUACHE,U.S. House,3,Independent,Mary M. Malarsie,70,
SAN JUAN,U.S. House,3,Independent,Mary M. Malarsie,11,
SAN MIGUEL,U.S. House,3,Independent,Mary M. Malarsie,75,
TOTAL,U.S. House,3,Independent,Mary M. Malarsie,10831,
ALAMOSA,U.S. House,3,Unaffiliated,Richard Tetu,0,
ARCHULETA,U.S. House,3,Unaffiliated,Richard Tetu,0,
CONEJOS,U.S. House,3,Unaffiliated,Richard Tetu,0,
COSTILLA,U.S. House,3,Unaffiliated,Richard Tetu,0,
CUSTER,U.S. House,3,Unaffiliated,Richard Tetu,0,
DELTA,U.S. House,3,Unaffiliated,Richard Tetu,0,
DOLORES,U.S. House,3,Unaffiliated,Richard Tetu,0,
EAGLE,U.S. House,3,Unaffiliated,Richard Tetu,0,
GARFIELD,U.S. House,3,Unaffiliated,Richard Tetu,0,
GUNNISON,U.S. House,3,Unaffiliated,Richard Tetu,0,
HINSDALE,U.S. House,3,Unaffiliated,Richard Tetu,0,
HUERFANO,U.S. House,3,Unaffiliated,Richard Tetu,0,
JACKSON,U.S. House,3,Unaffiliated,Richard Tetu,0,
LAKE,U.S. House,3,Unaffiliated,Richard Tetu,0,
LA PLATA,U.S. House,3,Unaffiliated,Richard Tetu,0,
MESA,U.S. House,3,Unaffiliated,Richard Tetu,0,
MINERAL,U.S. House,3,Unaffiliated,Richard Tetu,0,
MOFFAT,U.S. House,3,Unaffiliated,Richard Tetu,0,
MONTEZUMA,U.S. House,3,Unaffiliated,Richard Tetu,0,
MONTROSE,U.S. House,3,Unaffiliated,Richard Tetu,0,
OURAY,U.S. House,3,Unaffiliated,Richard Tetu,0,
PITKIN,U.S. House,3,Unaffiliated,Richard Tetu,0,
PUEBLO,U.S. House,3,Unaffiliated,Richard Tetu,0,
RIO BLANCO,U.S. House,3,Unaffiliated,Richard Tetu,0,
RIO GRANDE,U.S. House,3,Unaffiliated,Richard Tetu,0,
ROUTT,U.S. House,3,Unaffiliated,Richard Tetu,0,
SAGUACHE,U.S. House,3,Unaffiliated,Richard Tetu,0,
SAN JUAN,U.S. House,3,Unaffiliated,Richard Tetu,0,
SAN MIGUEL,U.S. House,3,Unaffiliated,Richard Tetu,0,
TOTAL,U.S. House,3,Unaffiliated,Richard Tetu,0,
ALAMOSA,U.S. House,3,Green Party,Bruce Lohmiller,0,
ARCHULETA,U.S. House,3,Green Party,Bruce Lohmiller,0,
CONEJOS,U.S. House,3,Green Party,Bruce Lohmiller,0,
COSTILLA,U.S. House,3,Green Party,Bruce Lohmiller,0,
CUSTER,U.S. House,3,Green Party,Bruce Lohmiller,0,
DELTA,U.S. House,3,Green Party,Bruce Lohmiller,0,
DOLORES,U.S. House,3,Green Party,Bruce Lohmiller,0,
EAGLE,U.S. House,3,Green Party,Bruce Lohmiller,0,
GARFIELD,U.S. House,3,Green Party,Bruce Lohmiller,0,
GUNNISON,U.S. House,3,Green Party,Bruce Lohmiller,0,
HINSDALE,U.S. House,3,Green Party,Bruce Lohmiller,0,
HUERFANO,U.S. House,3,Green Party,Bruce Lohmiller,0,
JACKSON,U.S. House,3,Green Party,Bruce Lohmiller,0,
LAKE,U.S. House,3,Green Party,Bruce Lohmiller,0,
LA PLATA,U.S. House,3,Green Party,Bruce Lohmiller,0,
MESA,U.S. House,3,Green Party,Bruce Lohmiller,1,
MINERAL,U.S. House,3,Green Party,Bruce Lohmiller,0,
MOFFAT,U.S. House,3,Green Party,Bruce Lohmiller,0,
MONTEZUMA,U.S. House,3,Green Party,Bruce Lohmiller,0,
MONTROSE,U.S. House,3,Green Party,Bruce Lohmiller,0,
OURAY,U.S. House,3,Green Party,Bruce Lohmiller,0,
PITKIN,U.S. House,3,Green Party,Bruce Lohmiller,0,
PUEBLO,U.S. House,3,Green Party,Bruce Lohmiller,2,
RIO BLANCO,U.S. House,3,Green Party,Bruce Lohmiller,0,
RIO GRANDE,U.S. House,3,Green Party,Bruce Lohmiller,0,
ROUTT,U.S. House,3,Green Party,Bruce Lohmiller,0,
SAGUACHE,U.S. House,3,Green Party,Bruce Lohmiller,0,
SAN JUAN,U.S. House,3,Green Party,Bruce Lohmiller,0,
SAN MIGUEL,U.S. House,3,Green Party,Bruce Lohmiller,0,
TOTAL,U.S. House,3,Green Party,Bruce Lohmiller,3,
ALAMOSA,U.S. House,3,Green Party,Gary Swing,0,
ARCHULETA,U.S. House,3,Green Party,Gary Swing,0,
CONEJOS,U.S. House,3,Green Party,Gary Swing,0,
COSTILLA,U.S. House,3,Green Party,Gary Swing,0,
CUSTER,U.S. House,3,Green Party,Gary Swing,0,
DELTA,U.S. House,3,Green Party,Gary Swing,0,
DOLORES,U.S. House,3,Green Party,Gary Swing,0,
EAGLE,U.S. House,3,Green Party,Gary Swing,0,
GARFIELD,U.S. House,3,Green Party,Gary Swing,1,
GUNNISON,U.S. House,3,Green Party,Gary Swing,0,
HINSDALE,U.S. House,3,Green Party,Gary Swing,0,
HUERFANO,U.S. House,3,Green Party,Gary Swing,0,
JACKSON,U.S. House,3,Green Party,Gary Swing,0,
LAKE,U.S. House,3,Green Party,Gary Swing,0,
LA PLATA,U.S. House,3,Green Party,Gary Swing,2,
MESA,U.S. House,3,Green Party,Gary Swing,1,
MINERAL,U.S. House,3,Green Party,Gary Swing,0,
MOFFAT,U.S. House,3,Green Party,Gary Swing,0,
MONTEZUMA,U.S. House,3,Green Party,Gary Swing,0,
MONTROSE,U.S. House,3,Green Party,Gary Swing,0,
OURAY,U.S. House,3,Green Party,Gary Swing,0,
PITKIN,U.S. House,3,Green Party,Gary Swing,1,
PUEBLO,U.S. House,3,Green Party,Gary Swing,4,
RIO BLANCO,U.S. House,3,Green Party,Gary Swing,0,
RIO GRANDE,U.S. House,3,Green Party,Gary Swing,0,
ROUTT,U.S. House,3,Green Party,Gary Swing,0,
SAGUACHE,U.S. House,3,Green Party,Gary Swing,0,
SAN JUAN,U.S. House,3,Green Party,Gary Swing,0,
SAN MIGUEL,U.S. House,3,Green Party,Gary Swing,0,
TOTAL,U.S. House,3,Green Party,Gary Swing,9,
ADAMS,U.S. House,4,Democratic Party,Karen McCormick,881,
ARAPAHOE,U.S. House,4,Democratic Party,Karen McCormick,834,
BACA,U.S. House,4,Democratic Party,Karen McCormick,320,
BENT,U.S. House,4,Democratic Party,Karen McCormick,651,
BOULDER,U.S. House,4,Democratic Party,Karen McCormick,30005,
CHEYENNE,U.S. House,4,Democratic Party,Karen McCormick,130,
CROWLEY,U.S. House,4,Democratic Party,Karen McCormick,412,
DOUGLAS,U.S. House,4,Democratic Party,Karen McCormick,46821,
ELBERT,U.S. House,4,Democratic Party,Karen McCormick,3404,
KIOWA,U.S. House,4,Democratic Party,Karen McCormick,96,
KIT CARSON,U.S. House,4,Democratic Party,Karen McCormick,515,
LAS ANIMAS,U.S. House,4,Democratic Party,Karen McCormick,2999,
LINCOLN,U.S. House,4,Democratic Party,Karen McCormick,373,
LOGAN,U.S. House,4,Democratic Party,Karen McCormick,1863,
MORGAN,U.S. House,4,Democratic Party,Karen McCormick,2927,
OTERO,U.S. House,4,Democratic Party,Karen McCormick,2892,
PHILLIPS,U.S. House,4,Democratic Party,Karen McCormick,398,
PROWERS,U.S. House,4,Democratic Party,Karen McCormick,1097,
SEDGWICK,U.S. House,4,Democratic Party,Karen McCormick,269,
WASHINGTON,U.S. House,4,Democratic Party,Karen McCormick,275,
WELD,U.S. House,4,Democratic Party,Karen McCormick,47727,
YUMA,U.S. House,4,Democratic Party,Karen McCormick,655,
TOTAL,U.S. House,4,Democratic Party,Karen McCormick,145544,
ADAMS,U.S. House,4,Republican Party,Ken Buck,2707,
ARAPAHOE,U.S. House,4,Republican Party,Ken Buck,3003,
BACA,U.S. House,4,Republican Party,Ken Buck,1543,
BENT,U.S. House,4,Republican Party,Ken Buck,1208,
BOULDER,U.S. House,4,Republican Party,Ken Buck,15947,
CHEYENNE,U.S. House,4,Republican Party,Ken Buck,853,
CROWLEY,U.S. House,4,Republican Party,Ken Buck,980,
DOUGLAS,U.S. House,4,Republican Party,Ken Buck,71069,
ELBERT,U.S. House,4,Republican Party,Ken Buck,11170,
KIOWA,U.S. House,4,Republican Party,Ken Buck,671,
KIT CARSON,U.S. House,4,Republican Party,Ken Buck,2559,
LAS ANIMAS,U.S. House,4,Republican Party,Ken Buck,3231,
LINCOLN,U.S. House,4,Republican Party,Ken Buck,1708,
LOGAN,U.S. House,4,Republican Party,Ken Buck,6667,
MORGAN,U.S. House,4,Republican Party,Ken Buck,7680,
OTERO,U.S. House,4,Republican Party,Ken Buck,4558,
PHILLIPS,U.S. House,4,Republican Party,Ken Buck,1634,
PROWERS,U.S. House,4,Republican Party,Ken Buck,3036,
SEDGWICK,U.S. House,4,Republican Party,Ken Buck,935,
WASHINGTON,U.S. House,4,Republican Party,Ken Buck,2129,
WELD,U.S. House,4,Republican Party,Ken Buck,77310,
YUMA,U.S. House,4,Republican Party,Ken Buck,3440,
TOTAL,U.S. House,4,Republican Party,Ken Buck,224038,
ADAMS,U.S. House,4,Democratic Party,Richard Lyons Weil,2,
ARAPAHOE,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
BACA,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
BENT,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
BOULDER,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
CHEYENNE,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
CROWLEY,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
DOUGLAS,U.S. House,4,Democratic Party,Richard Lyons Weil,5,
ELBERT,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
KIOWA,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
KIT CARSON,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
LAS ANIMAS,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
LINCOLN,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
LOGAN,U.S. House,4,Democratic Party,Richard Lyons Weil,1,
MORGAN,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
OTERO,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
PHILLIPS,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
PROWERS,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
SEDGWICK,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
WASHINGTON,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
WELD,U.S. House,4,Democratic Party,Richard Lyons Weil,5,
YUMA,U.S. House,4,Democratic Party,Richard Lyons Weil,0,
TOTAL,U.S. House,4,Democratic Party,Richard Lyons Weil,13,
ADAMS,U.S. House,4,Green Party,John B. Vigil,2,
ARAPAHOE,U.S. House,4,Green Party,John B. Vigil,1,
BACA,U.S. House,4,Green Party,John B. Vigil,0,
BENT,U.S. House,4,Green Party,John B. Vigil,0,
BOULDER,U.S. House,4,Green Party,John B. Vigil,5,
CHEYENNE,U.S. House,4,Green Party,John B. Vigil,0,
CROWLEY,U.S. House,4,Green Party,John B. Vigil,0,
DOUGLAS,U.S. House,4,Green Party,John B. Vigil,9,
ELBERT,U.S. House,4,Green Party,John B. Vigil,0,
KIOWA,U.S. House,4,Green Party,John B. Vigil,0,
KIT CARSON,U.S. House,4,Green Party,John B. Vigil,1,
LAS ANIMAS,U.S. House,4,Green Party,John B. Vigil,0,
LINCOLN,U.S. House,4,Green Party,John B. Vigil,0,
LOGAN,U.S. House,4,Green Party,John B. Vigil,0,
MORGAN,U.S. House,4,Green Party,John B. Vigil,0,
OTERO,U.S. House,4,Green Party,John B. Vigil,0,
PHILLIPS,U.S. House,4,Green Party,John B. Vigil,0,
PROWERS,U.S. House,4,Green Party,John B. Vigil,1,
SEDGWICK,U.S. House,4,Green Party,John B. Vigil,0,
WASHINGTON,U.S. House,4,Green Party,John B. Vigil,0,
WELD,U.S. House,4,Green Party,John B. Vigil,7,
YUMA,U.S. House,4,Green Party,John B. Vigil,0,
TOTAL,U.S. House,4,Green Party,John B. Vigil,26,
CHAFFEE,U.S. House,5,Democratic Party,Stephany Rose Spaulding,5506,
EL PASO,U.S. House,5,Democratic Party,Stephany Rose Spaulding,109510,
FREMONT,U.S. House,5,Democratic Party,Stephany Rose Spaulding,5972,
PARK,U.S. House,5,Democratic Party,Stephany Rose Spaulding,1818,
TELLER,U.S. House,5,Democratic Party,Stephany Rose Spaulding,4042,
TOTAL,U.S. House,5,Democratic Party,Stephany Rose Spaulding,126848,
CHAFFEE,U.S. House,5,Republican Party,Doug Lamborn,5035,
EL PASO,U.S. House,5,Republican Party,Doug Lamborn,155070,
FREMONT,U.S. House,5,Republican Party,Doug Lamborn,12752,
PARK,U.S. House,5,Republican Party,Doug Lamborn,2770,
TELLER,U.S. House,5,Republican Party,Doug Lamborn,8375,
TOTAL,U.S. House,5,Republican Party,Doug Lamborn,184002,
CHAFFEE,U.S. House,5,Libertarian Party,Douglas Randall,347,
EL PASO,U.S. House,5,Libertarian Party,Douglas Randall,10058,
FREMONT,U.S. House,5,Libertarian Party,Douglas Randall,774,
PARK,U.S. House,5,Libertarian Party,Douglas Randall,185,
TELLER,U.S. House,5,Libertarian Party,Douglas Randall,431,
TOTAL,U.S. House,5,Libertarian Party,Douglas Randall,11795,
CHAFFEE,U.S. House,5,Democratic Party,Lori Furstenberg,0,
EL PASO,U.S. House,5,Democratic Party,Lori Furstenberg,54,
FREMONT,U.S. House,5,Democratic Party,Lori Furstenberg,0,
PARK,U.S. House,5,Democratic Party,Lori Furstenberg,1,
TELLER,U.S. House,5,Democratic Party,Lori Furstenberg,0,
TOTAL,U.S. House,5,Democratic Party,Lori Furstenberg,55,
CHAFFEE,U.S. House,5,Unaffiliated,John Croom,0,
EL PASO,U.S. House,5,Unaffiliated,John Croom,12,
FREMONT,U.S. House,5,Unaffiliated,John Croom,4,
PARK,U.S. House,5,Unaffiliated,John Croom,0,
TELLER,U.S. House,5,Unaffiliated,John Croom,0,
TOTAL,U.S. House,5,Unaffiliated,John Croom,16,
ADAMS,U.S. House,6,Republican Party,Mike Coffman,21007,
ARAPAHOE,U.S. House,6,Republican Party,Mike Coffman,97623,
DOUGLAS,U.S. House,6,Republican Party,Mike Coffman,30055,
TOTAL,U.S. House,6,Republican Party,Mike Coffman,148685,
ADAMS,U.S. House,6,Democratic Party,Jason Crow,22749,
ARAPAHOE,U.S. House,6,Democratic Party,Jason Crow,138261,
DOUGLAS,U.S. House,6,Democratic Party,Jason Crow,26629,
TOTAL,U.S. House,6,Democratic Party,Jason Crow,187639,
ADAMS,U.S. House,6,Libertarian Party,Kat Martin,945,
ARAPAHOE,U.S. House,6,Libertarian Party,Kat Martin,4117,
DOUGLAS,U.S. House,6,Libertarian Party,Kat Martin,824,
TOTAL,U.S. House,6,Libertarian Party,Kat Martin,5886,
ADAMS,U.S. House,6,Unaffiliated,Dan Chapin,966,
